relation,p,n_pairs
pos,0.0015614411409960627,1766
neg,0.0,1186
all,0.00199838226010101,1021
some,0.0011920054457264042,745
few,0.0,1186
evidence,0.0023877438043561337,894
no_evidence_pos,0.0006673194912285047,502
no_evidence_neg,0.0,1082
implied_category,0.0002623902409017185,106
typical_of_concept,0.003027626506095178,94
typical_of_property,0.002682922530130841,215
affording_activity,0.004425892729296001,130
afforded_usual,0.0,54
afforded_unusual,0.0009123837398185969,42
variability_limited,0.001906908376930785,485
variability_open,0.0007374631268436577,323
rare,0.0,110
unusual,0.0,301
impossible,0.0,464
creative,0.0,69
